Country Name,MM-YYYY,Number of Hits,Sentiment Score (-1 to 1),Magnitude,Month's Headlines
Bolivia,01-2018,14,0.0,1.1,"['Bolivia Tells President His Time Is Up. He Isn’t Listening.', 'In Some Countries, Facebook’s Fiddling Has Magnified Fake News', 'Word + Quiz: degradation', 'Trump’s Aviation Boast Fails to Get in the Air', 'Around the World in Books', 'Using Drones and Netflix in the Andes, but Sidestepping Google Maps', 'The U.S. Wanted to Discuss Iran. Russia Brought Up Black Lives Matter.', 'Trump, Hawaii, Montecito: Your Weekend Briefing', 'Facebook to Let Users Rank Credibility of News', 'Kabul, Russia, Grammy Awards: Your Monday Briefing', 'Can You Tell a Lullaby From a Love Song? Find Out Now', 'As Pope Francis Heads to Chile and Peru, Argentina Feels Snubbed, Again', 'Help Shape The Times’s Opioid Coverage', '36 Hours in Washington, D.C.']"
Bolivia,02-2018,10,0.0,1.9,"['The Childhood Journeys That Made Them ‘Dreamers’', 'Russia Vetoes U.N. Resolution to Pressure Iran Over Yemen Missiles', 'Ecuador Votes to Bring Back Presidential Term Limits', 'Trump’s Faux-Populist Infrastructure Plan', 'Hello! We’d Like To Know More About You', 'Hello! We’d Like To Know More About You', 'Silver-Screen Travel Inspiration for Oscars Season', 'Intimate Spot With Focus on New York Drinks Opens in Greenpoint', 'The Elder Statesman of Latin American Literature — and a Writer of Our Moment', 'Trump as Student Savior? Not Buying It']"
Bolivia,03-2018,10,0.0,1.7,"['Facebook to End News Feed Experiment in 6 Countries That Magnified Fake News', 'Pope Rejects Call for Apology to Canada’s Indigenous People', 'It’s Almost Spring. Let’s Get Organized.', 'We Can Stop the Poaching of Big Cats. Here’s How.', 'News Quiz: Test Your Knowledge of the Week’s Headlines', 'Dear Match Book: International Books of Mystery', 'Want to Dive Into the Trump Job Pool? Ask Me Anything', 'Nathalie Cabrol Searches the Earth for the Secrets of Life on Mars', 'After Maria’s Devastation, Can Dominica Be a Destination Again?', 'Can Venezuela Be Saved?']"
Bolivia,04-2018,13,0.0,0.2,"['How Big Forests Solve Global Problems', 'The 52 Places Traveler: The Paradox of the Women of La Paz', 'U.N. Security Council Rejects Russian Resolution Condemning Syrian Strikes', 'The Humble Potato Is Exalted in the Mountains of Peru', 'Fighting to Save America’s Bats', 'Latin America Leaders Brood: How Do You Solve a Problem Like Maduro?', 'Cubans in Florida Have Waited to See Castros Go, but No One Is Celebrating', 'Tax Day, Southwest Airlines, Starbucks: Your Tuesday Evening Briefing', 'A Pope Given to Apologies Has Nothing for Indigenous Canada', 'The 52 Places Traveler: Beautiful, Complicated Bogotá: A Traveler’s Starter Kit ', 'Can Sobriety Be as Interesting as Addiction? A Writer Wonders', 'The 52 Places Traveler: In Los Cabos, Beaches Abound, but So Does Generosity', 'Corrections: April 29, 2018']"
Bolivia,05-2018,16,0.0,0.2,"['Is This the World’s Most Diverse National Park?', 'Jesuit Legacy in the Bolivian Jungle: A Love of Baroque Music', 'French Fare From a Comfort Food Veteran in the West Village', 'Luis García Meza, Bolivian Dictator Jailed for Genocide, Dies at 88', '‘Saskatoon Likes Me’: The Canada Letter', 'Taking Visual Journalism Into the Sky With Drones', 'The Week in Good News: The Royal Wedding, Ex-Convicts With Green Thumbs, Ice Cream', 'The Nobel Prize for Literature Is a Scandal All by Itself', ""Let's Play Two!"", 'Tick and Mosquito Infections Spreading Rapidly, C.D.C. Finds', 'North Korea, Harvey Weinstein, Jack Johnson: Your Friday Briefing', 'The 52 Places Traveler: On the Water, and Off, the Rogue River in Oregon Charms', 'Place 14 of 52: Seattle, City of Glass', 'The 52 Places Traveler: In Denver, a Mile High but Down to Earth', 'A Simple Way to Improve a Billion Lives: Eyeglasses', 'The 52 Places Traveler: In Chile, a Gorgeous, Very Rainy and Sometimes Lonely Journey']"
Bolivia,06-2018,10,0.0,0.2,"['World Cup 2026: How Each Country Voted', 'Who Is Left to Credibly Judge Latin America’s Elections?', 'News Quiz: Test Your Knowledge of the Week’s Headlines', 'Migrants Are on the Rise Around the World, and Myths About Them Are Shaping Attitudes', 'The 52 Places Traveler: The Arts Are Flourishing in Cincinnati', 'The 52 Places Traveler: From Refugees to a Reunion, Buffalo Lives Up to Its Welcoming Reputation', 'Place 15 of 52: A 10-Story, 90-Foot Vertical Drop, and Other Reasons to Visit Branson, Mo.', 'The 52 Places Traveler: A Celebration of African-American Culture in Baltimore', 'The 52 Places Traveler: Cold and Remote Saskatoon Provides Its Own Warmth ', 'When an Iowa Family Doctor Takes On the Opioid Epidemic']"
Bolivia,07-2018,9,0.0,0.1,"['Mexico Delivers Another Defeat to the Status Quo in Latin America', 'From a Space Station in Argentina, China Expands Its Reach in Latin America', 'Mexico and the Nicaraguan Quagmire', 'What to Do on the 4th of July in N.Y.C.', 'The 52 Places Traveler: Keep Oslo Weird', 'The 52 Places Traveler: In Tallinn and Vilnius, the Complexities of Independence', 'The 52 Places Traveler: On an Icelandic Road Trip, Mossy Moonscapes and More', 'The 52 Places Traveler: Cheeky Surprises in Bristol, and a ‘Wee Look Around’ Glasgow', 'The 52 Places Traveler: Summer in France, in Two Very Different Ways']"
Bolivia,08-2018,12,0.0,0.0,"[""Back Story With The Times's Simon Romero"", 'NYT: Reading the Coca Leaves', 'What’s on TV Thursday: ‘Follow This’ on Netflix and the Season Finale of ‘American Woman’', 'As ‘Lula’ Sits in Brazil Jail, Party Nominates Him for President', 'A Year of Violence Sees Brazil’s Murder Rate Hit Record High', 'Venezuelan President Targeted by Drone Attack, Officials Say', 'Alan Rabinowitz, Conservationist of Wild Cats, Dies at 64', 'A Cheapskate’s Guide to Dublin, Rich in History and Beer', 'The 52 Places Traveler: A Pilgrimage to Ypres', 'The 52 Places Traveler: A Road (and River) Trip Through Western Germany', 'The 52 Places Traveler: The Trickiness of Being a Woman in Tangier', 'The 52 Places Traveler: Feeling Like an Insider, Finally, in Spain']"
Bolivia,09-2018,10,0.0,0.2,"['Never Heard of Bolivian Wine? That May Be About to Change', 'U.N. General Assembly: Trump Leads Security Council Meeting', 'Venezuela Accuses U.S. of Plotting Coup Against Maduro', 'Men, Tell Us About Your High School Experience', 'How Does Your Family Get Through the Day?', 'The 52 Places Traveler: In the Italian Dolomites, Dramatic Skies and Stone Giants', 'Trump Accuses China of Interfering in Midterm Elections', 'The 52 Places Traveler: In Lucerne, Kindness Trumps the (Stunning) Views ', 'The 52 Places Traveler: In Belgrade, Nighttime Is the Right Time', 'The 52 Places Traveler: Finding the Real Prague']"
Bolivia,10-2018,17,0.0,1.8,"['Óscar Romero, Archbishop Killed While Saying Mass, Will Be Named a Saint on Sunday', 'News Quiz: Test Your Knowledge of the Week’s Headlines', 'Peru Opposition Leader Keiko Fujimori Is Arrested in Corruption Inquiry', 'Do You Live in an Area Where Voting Has Become Tougher?', 'The Woo SoHo Opens, Updating a Korean Trailblazer', 'In Zambia, Groaning Hippos, Growling Leopards and Mango-Stealing Elephants ', 'The 52 Places Traveler: São Tomé and Príncipe, Where Nature has the Upper Hand', 'The 52 Places Traveler: A Night Out in Kigali', 'New York Today: Mega Millions, Math and Manjul', 'From Top End to Tasmania: Two Very Different Sides of Australia', 'The 52 Places Traveler: Two Versions of the Slow Life in Central and Southern Italy', 'Inside Colombia’s Beloved Candy Factory', 'In Japan, the Kit Kat Isn’t Just a Chocolate. It’s an Obsession.', '33 Unique Treats From All Around the World', 'These Are the World’s Best Candies. Want to Fight About It?', 'The Saltier the Licorice, the Happier the Country. Just Look at Finland.', 'Flavor Is a Language, and Like Wine, Candy Has Its Own']"
