Country Name,MM-YYYY,Number of Hits,Sentiment Score (-1 to 1),Magnitude,Month's Headlines
Chile,01-1971,91,-0.1,2.1,"['Chile, Now in the Aftermath of Her Discontent', ""Chile's Peasants Get Aid in Seizing Farms"", 'Leftist Authorities in Chile Denounce Judicial System', ""Allende Sharply Denies Charges Chile's Press Is Being Harasse"", 'Chilean Business Tells Allende Policy Will Kill Private Sector', 'New Chilean Political and Economic Policies Generate Conflict', 'Brazilians Get Pledge to Free Envoy When 70 Land in Chile', 'Taiwan Envoy Quits Chile', 'Correct Policy Toward Chile', 'Communist China Recognized by Chile', ""Chile Plans to Set Up Neighborhood People's Tribunals to Try Minor Crimes"", 'CHILE IS TAKING OVER 2 MORE U.S. CONCERNS', ""Anaconda Is Glum Over Chile's Moves On Copper Holdings"", 'The Talk of Temuco', 'Land Seizures Denounced', 'Point of View', 'Neruda Confirmed as Envoy', 'Antigovernment Plot Charged', ""Chile Buys controlling Interest In Nation's largest Coal Mine"", '70 Freed by Brazil for Envoy Arrive Jubilantly in Santiago', 'FOREIGN AFFAIRS', ""For the Families of Congress's New Members, It Is the Start of a Different Life"", 'PRESIDENT TERMS CUBA OFF LIMITS FOR SOVIET SUBS', 'Ranchland Expropriated', 'Chilean Line to Fly to Cuba', 'Chile Expects Castro Visit', ""CHILE TO NATIONALIZE BETHLEHEM'S MINES"", 'CHILE TO RECEIVE 70 IN BRAZILIAN RANSOM', 'BRAZIL FREES 70, WHO FLY TO CHILE', 'Bucher Still Held', '2 Get Prison in Drug Case', 'Son to the Mitchells', 'Ambassador Still Held', 'SWISS DIPLOMAT FREED IN BRAZIL', 'U.S. and Ecuador Reach Agreement On Fishing Dispute', 'MANSFIELD SHIFTS STEERING PANEL', '70 Prisoners Released by. Brazilians Charge Torture', 'Mrs. Lyon and S. C. Burden, Investment Banker, to Marry', 'Shirley Burden, A Banker Here, Weds Mrs. Lyon', ""Allende's Weapon: The Law"", 'U.S. BUSINESS ROUNDUP', 'NEW ECUADOR BAR WEIGHED BY U.S.', 'Victory for Revolutionaries', 'The Talk of Latin America', 'Caroline Chapman Escher Wed In Jersey to Luis Alberto Simian', 'SANTA ANITA PAYS DOUBLE OF $4,028', 'Copper Market Study: Question of Sufficiency', 'News Analysis', 'Argentina Finds Use for Inflation', 'Ransom and Release in Rio', 'Bogota Attracting Investors', 'Buckley Staff Gets to Work in Old Murphy Suite', 'U.S. Agents Try, but Fail, to Stop Flow of Cocaine From Latin Countries', '5 Latin Americans Found Guilty Here in Drug Conspiracy Case', 'Ecuador Charges U.S. ‘Aggression’ in Fishing Dispute and Urges Urgent Meeting of O.A.S. Ministers', 'In Brief', 'Brazil Displaying New Toughness in Kidnappings', 'Terrorism Issue Divides 0.A.S. As Ministers Open Conference', 'Tuna Fleet Gambles Millions Against Taint', 'BUSINESS LETTER', 'New Military Man on the March', 'Airline to China? One of These Days', 'Of Fish, Oil and Oceans', 'Autos of Colombia Come in All Sizes', 'Lion Sleeps Seeks Sixth Victory in Row in Royal Palm at Hialeah Today', 'PEKING MAY WIDEN AIR LINKS ABROAD', ""Debate on Recognition of Peking Intensifies for Japan's Leaders"", 'Latins Accelerate Tempo Of Revolution', 'What Europe did to us and what we did to one another', 'Paraguay in Role Of Money Market', 'A Matter of Confidence. . .', 'Finland Offers a Successor for Thant', 'The Date Is King in Iraqi Port With Arrival of Packing Time', 'Foreign Aid Off as Need Rises', 'Ecuador Arms Aid Suspended by U.S.', 'The World', ""Transcript of Four Correspondents' Interview With President at the White House"", 'The World', 'Point of View', 'C.Westmoreland, Adm. Thomas H. Moorer, Postmaster General Winton M. Blount, Secretary of Defense Melvin R. Laird and Secretary of State William P. Rogers.', 'Squeeze on Foreigners Tightening in Venezuela', 'British Panel Upholds Expulsion of Rudi Dutschke as Security Risk', 'Tuna Men on West Coast Doubt a Pact With Latins', 'The Nation', 'A helpless helping hand to Latin America', 'Trade Fairs Range From Pollution Control to Catering', ""Russell's Proxy Kept Byrd in the Race"", 'Setback in Venezuela', 'U. S. Foreign Policy: A Firm Nixon Style', 'Foreign Policy: Kissinger at Hub', 'Would You Buy Used Manuscript From This Man?']"
Chile,02-1971,68,0.0,0.4,"['Chile and Cuba in a New Trade Deal', 'CHILE TO PRESENT ECONOMIC PLANS', ""U.S. Declines Chile's Invitation for Visit by Warship"", 'Administration Reported Split On U.S. Carrier Visit to Chile', 'Defiant Chilean Peasants Are Seizing More Farms', 'MAGAZINE COMPANY IS BOUGHT BY CHILE', 'Zumwalt Arrives in Chile For One‐Day Courtesy Visit', 'An Economic Team From Chile Puts Its Case in Washington for Continued Investment by Foreigners', 'Debray Leaves Chile for Cuba With Study of Allende Regime', 'Chile Acts to End Seizure of Farms by Peasants', 'Chile Denies Curbing Press', 'Chilean Senate Gives Allende Power To Nationalize U.S. Copper Interests', ""Chile's Take‐Over Plans Hit by Javits"", ""Chilean Socialists Choose a Radical As Party's Leader"", 'Allende Replies to Nixon', 'Other Key Points in Review of U.S. Foreign Policy', 'May Seize Nitrate Mines', 'Foreign Notes', 'U.S. Warns Chile Her Plan to Take Over Copper Holdings Could Hurt Relations', ""Allende's First 100 Days: The Socialism Is Low Key"", ""Allende's Sister Visits Cuba To Study State Programs"", 'ALLENDE EXPRESSES CAUTION ON SEIZURES', 'The World', '5 Guerrillas Arrested', 'Earthquake Rocks Chile', 'Chileans In Series At Hunter', 'Chile Announces She Will Sell Copper Directly to Red China', 'Reaction in London', 'Anaconda Cuts Dividend', ""Mexico City's Airport Police Seize 53 Pounds of Cocaine"", 'Anaconda Announces a Slash Of Almost 50% in Dividend Rate', 'Diluted Kidnapping Convention Is Adopted by the O.A.S., 13 to 1', 'Anaconda Estimates a Drop In 1970 and Fourth‐Quarter Net', 'Deepest Part of the Ocean Is Pinpointed by New Atlas', 'An Experiment in International Cooking', 'Argentine Guerrillas Step Up Drive; Experts Foresee Big‐Scale Attacks', '6 NATIONS STAGE WALKOUT IN O.A.S.', 'FRANULOVIC TOPS GRAEBNER, 6‐2, 6‐1', 'Millions Have Died in Past Earthquakes', 'Graebner Sets Back Koch, Gains Macon Net Semifinals', 'WORKS AUTHORIZED BY EASTMAN SCHOOL', 'RICHEY BEATS KOCH TO GAIN SEMIFINALS', 'SCHLOSS ADVANCES IN NATIONAL TENNIS', 'Ghetto Kids Dig Tennis Scene As Bus Ride Bridges 2 Worlds', 'Nastase Gains Semi‐Finals', 'GRAEBNER, NASTASE AND RICHEY VICTORS', 'SILVER FUTURES REGISTER A GAIN', 'NASTASE PRESSED TO WIN IN TENNIS', 'Setback for the O.A.S.', 'Venezuela Receiving Signals for Change', ""Favored Daryl's Joy Rallies to Win $65,300 San Luis Obispo on Turf"", 'RICHEY, SANTANA VICTORS IN TENNIS', 'Fort Marcy to Carry 128 Today', 'Graebner Beats Richey in 6‐Set U.S.Indoor Tennis Final', 'Mannequins Were Wearing Those Shorts Even (Gasp!) at Mainbocher', 'RICHEY ADVANCES TO INDOOR FINAL', 'FOREIGN AFFAIRS', 'Music', ""Mexico's Auto Earnings Lag Despite Higher Output and Sales"", ""Inflation and Taxes Squeezing France's Middle Class"", 'Ice Fishermen Flock to Lakes, Bringing the Comforts of Home With Them', 'Stamps', 'Italian Premier Bars Role for Reds', 'NIXON SEES RISK OF ISOLATIONISM IF DISENGAGEMENT IS TOO SWIFT;', 'Class 4‐4: Teachers Ponder Union Attitude on Problems', 'The Quake Still Afflicts Community on Coast', 'G.O.P. Blues', 'First Monday: A Trading Tradition in Scottsboro']"
Chile,03-1971,59,-0.1,0.7,"['Pope Exhorts Chile on Ties', 'U.S. Officers in Chile', 'HANOI TRADE MISSION RECOGNIZED BY CHILE', 'Campaigning Fills the Air Chile Prepares for Sunday Election', 'Chile Buys Bank Shares', '4 U.S. Officers to Go to Chilean Fete', 'Chile Increasingly Blames ‘International Conspiracy’ for Woes', 'Chile Assailed for Bar on Anti‐Red Film', 'Buildings Seized in Chile', 'Leftists View Chilean Election as Test', 'U.S. Cancellation of Visit By Enterprise Stirs Chile', 'Chilean Government Abandons Bill for Neighborhood Courts', 'Boorish Rebuff to Chile', 'ALLENDE AFFIRMS. DESIRE FOR AMITY', 'FOREIGN AFFAIRS', 'Allende, in Interview, Bars Any Base Imperiling U.S.', 'FOREIGN AFFAIRS', ""Excerpts From Brezhnev's Report to the 24th Soviet Communist Party Congress"", 'Copper Interests Attacked', 'Rogers Says Chou Tried to Soothe Hanoi', ""Decision Termed Nixon's"", 'Chile to Buy In First Major', 'Chile Reported Unable to Fill Contracts for Export of Copper', 'Chileans Capture Doubles For 2‐1 Lead in Davis Cup', 'Chile Defeats Colombia,3‐2, In So. American Davis Cup', 'Article 1 ‐‐ No Title', 'Latin Nationalists Annoyed By Yankees on TV Screen', '2 RUMANIANS GAIN IN INDOOR TENNIS', '35 Countries to View Ali‐Frazier Title Battle', 'Eyes on Yankee Giant', 'COPPER FUTURES SHOW HEAVY GAIN', ""Daryl's Joy and Cougar II To Miss Santa Anita Race"", 'JAMES COX, EX‐HEAD OF MET OPERA CLUB', 'Franulovic Gains at U.S. Net', 'Letters to the Editor', 'ACK ACK CAPTURES SANTA ANITA RACE', ""Brazil's Neighbors Watching Warily as the Sleeping Giant Stirs"", 'Nuts before dessert', 'Washington: For the Record', 'Colombians Debate Role in Their Land Of Foreign Capital', 'Copper Pacemaker', 'HERBERT EVANS, FOUND VITAMIN E', 'TOPICS HEATING UP AT LATIN AID BANK', 'State Department Opposes Further Curbs on Latin Nations That Seize Boats', 'Phelps Dodge Sets a Rise In Domestic Copper Price', 'HANOI PARTY HEAD REACHES MOSCOW', 'Books: Changing Careers', 'Infant Mortality Rate in City Drops to a Record Low', 'Trade Delegates of O.A.S. Mix Dissension and ‘Togetherness’', '‘TUNA WAR’ NETS SOVIET DIPLOMAT', 'NUCLEAR AGFNCY SEEKS INSPECTORS', 'senate Votes Today on SST', 'Puerto Rico Is Concerned About Image', 'SST Gains in the Senate; Key Vote Set Wednesday', 'Pacific Tuna Fleet Reports 1971 Catch Is Large', 'Dow Pierces 900 Mark, Ending With Gain of 9.86', 'Who Else Would Call Hamburgers the Enemy?', ""Argentina's Beef Crisis"", 'SENATE BARS FUNDS FOR SST, 51‐46; NIXON CALLS VOTE ‘SEVERE BLOW’']"
Chile,04-1971,56,0.0,1.4,"['Anaconda Reaches an Accord With Chile', ""Soviet Calls on Developing Countries To Form United Fronts Like Chile's"", 'Chilean Reassures Rogers on U.S. Role in O.A.S.', 'COPPER REFORM BILL IS APPROVED IN CHILE', 'Chile Confirms U.S. Will Replace Ambassador Korry', 'U.S. Is Said to Plan To Replace Korry As Envoy in Chile', 'Orderly Chilean Election Drive Ends', ""Allende' s Coalition Victor In. Local Elections in Chile"", 'DEMOCRACY PERILED IN CHILE, SAYS EREI', 'CASTRO REJECTS NEW TIES TO U.S.', 'Brazil and Argentina Balk Plan for Cut in Latin Arms Spending', 'ALLENDE FACING LABOR PROBLEMS', ""Allende's Stronger Mandate"", 'ALLENDE IS GIVEN MANDATE BY VOTE', 'FOREIGN AFFAIRS', 'Foreign Notes', 'FOREIGN AFFAIRS', 'Brazil Beats Chile', ""Chile: Copper Is the Color of Allende's Mandate"", 'Chile, Brazil Tied, 1‐1', 'Chilean Paper Asserts Castro Plans a Visit', 'Chile Ratifies O.A.S. Charter Special to The Nev York Times', 'Chile Leads Argentina, 2‐0, In Davis Cup Zone Match', 'ROGERS ASSURES LATINS ON TRADE', 'O. A. S. ASSEMBLY TO HEAR ROGERS', 'The People and the Priests', 'Honduras and El Salvador Agree at O.A.S. Meeting to Resume Negotiations', 'Guzman, Mulligan Gain In River Plate Tennis', 'SOMOZA EXPECTS POLITICAL CHANGE', 'New Latin Investment Code', 'Dining Out: A Choice of Chocolate Chicken or Braised Fin', 'Hewitt Advances', 'Daniel Adams to Marry Miss Anderson', 'Police Seize Cocaine Worth $2.5‐Million; 3 Men Are Arrested', 'Bay of Pigs Plus Ten', 'FOREIGN AFFAIRS', 'Bethlehem Steel Raises Earnings 17% in Quarter', 'Air in Mexico City Is Termed Potentially Severe Health Peril', 'Kennecott Net Off 40.1%;', 'UNESCO TO ADAPT ‘SESAME STREET’', 'Bridge: A Ridiculous Contract Proves Embarrassing When It Fails', 'Cougar II Wins $125,000 Coast Race Marred by Spill and Disqualification', 'PEACE CORPS ROLE ENDING IN PANAMA', 'A Trattoria Near a Museum', 'Former Colombian Aide Is Given 10‐Year Term on Drug Charge', 'Latins Plead for Greater U.S. Aid as. Q.A.S. Opens General Assembly in Costa Rica', 'The Catholic Resistance:', 'Mapping:', 'The Talk of Buenaventura', 'Argentine Dilemma', 'Whatever Became of the Travel Sticker?', '5% in U. S. Cite Spanish Origins', 'China Quietly Renewing An Active Role in Africa', ""Things Go Better With Wine When It's Made From Grapes"", ""Is McCloskey The McCarthy of '72?"", 'H—L—S of the C.I.A.']"
Chile,05-1971,61,-0.1,0.7,"[""Threat to Chile's Freedom"", 'Chilean Envoy in Warsaw', 'Chile Quickens Pace of State Ownership', 'CHILE TAKES OVER COPPER COMPANY', 'CHILE TO INVESTIGATE COPPER OPERATIONS', 'Anaconda Outlines Chile Claims', 'Aide Says Chile Will Seek Ties to Soviet Trade Bloc', 'CHILEANS DONATE ONE DAY OF WORK', 'Chile Sends Trade Team to East Europe', 'Christian Democrats in Chile Favor Communitarian Socialism’', ""Government's Price Freeze and Wage Rises Send Chileans on a Buying Spree"", 'CHILE LIKELY TO BUY FOUR FOREIGN BANKS', 'Ford to Close Truck Plant In Chile, Laying Off 600', 'ALLENDE OPPOSES NIXON OVER ARMS', 'Foreign Notes', 'ALLENDE PLEDGES TO SHUN VIOLENCE', 'Insurance Liability Stand Clarified by Anaconda Co.', 'Economic Crosscurrents Beset Latins', 'Chilean Envoy in Cuba', 'Chileans Win Doubles', 'LATIN GROUP BARS CUBA‐CHILE MOVE', 'Fillol Reaches Final', 'EARTH CRUST STUDY PLANNED IN PACIFIC', 'Battrick Upsets Fillol and Gains Final in British Tennis', 'QUARTER NET OFF 57% AT ANACONDA', 'COUGAR II RALLIES FOR COAST SCORE', 'Anaconda Chief Planning To Relinquish Top Post', 'Mrs. Court. Virginia Wade Gain Semifinals in London', 'Mrs. Court Keeps Title', 'Letters:', ""CUBAN'S ORDEAL AROUSES ARTISTS"", 'A Banker for Anaconda', 'Injured Roche Defaults to Sedgman in British Tennis; Cox Defeats Taylor', 'LAWN TENNIS AGAIN LISTED FOR MERION', 'Franulovic Defeats Cox, 6‐0, 9‐8, 6‐2, to Gain British Hard‐Court Final', 'Mets Triumph in 10th, 6‐5 After Astros Score 3 in 9th', 'HARLOW REED, 52, OLIN EXECUTIVE', 'Silver Futures Fall As User Forecasts Ample Metal Stock', 'Amex Prices Decline in Dull Trading', 'Cerro Loses $1.3‐Million', 'Cerro Loses $1.3‐Million', 'POINT OF VIEW', 'Amex Price Index Edges Up 0.05 As Turnover Registers Advance', 'BRAZILIANS SET UP INFORMATION UNIT', 'MRS. COURT UPSET IN FRENCH TENNIS', 'I.T.T. Suggests Reverse Flow', 'Wood, Field and Stream: Attention, Swordfish Lovers', 'HIGHLIGHTS OF THE WEEK', 'Merger of VISTA Is Backed by the House', 'Latin Lands Turning to Europe for Arms', 'The Forgotten Neighbors', 'Argentine Leader Reshuffles Cabinet', 'Money Woes of U.N. Refugee Unit Eased', 'ARGENTINE GROUP PLAYS IN CAPITAL', 'Rothschild Turns an Eye to the Pacific', 'GUATEMALA GAINS IN WAR ON REBELS', 'CREDIT MARKETS DIVIDED ON RATES', 'Argentina Plans to Widen Door to Foreign Investors', 'Nixon Moving to Meet Latin Pleas for More Arms Aid', 'The Two Key Figures Leading Canonero II Down the Road to a Triple Crown', ""The Little Priest Who Stands UP To Brazil's Generals""]"
Chile,06-1971,36,0.0,0.7,"['Chile Gets Poking Envoy', 'U.S. Grants Chile Credits For Military Equipment', 'U.S.‐Chilean Relations Running Into Serious Snags', 'Chile Alleges Kennecott And Anaconda Owe Taxes', 'A CHILEAN LEFTIST KILLS 2 POLICEMEN', 'Chile vs. Left Terrorism', 'East German‐Chile Accord', '2 Assassination Suspects Slain in Chile', 'Chilean Visits Pyongyang', '2 Governing Parties in Chile Accuse C.I.A. in Killin', 'Hunt Chilean Leftist in Slaying of Opposition Chief', 'CHILEAN EX‐AIDE SLAIN BY GUNMEN', 'Frei Asks Allende to Ban Armed Groups', 'Letters to the Editor', 'Foreign Notes', 'Allende Bloc Defeated in University Vote', 'Quake Hits Northern Chile', 'Chile‐Cuba Air Route to Open', 'URUGUAY BARS HELP ON ABDUCTED BRITON', 'Merger News', 'Andean Nations Seeking Strength in Unity', 'Title to Miss Heldman', 'Cougar II Rallies From Far Back and Captures $125,000 Turf Race on Coast', '2 NIXON BACKERS TO SEEK PULLOUT', 'CUBAN AIDE ENDS 11‐DAYSOVIET TRIP', 'Senate, 55 to 42, Defeats McGovern‐Hatfield Plan', 'Brazil Stands Firm on 200‐Mile Sea Limit and Joins Five Other Latin Nations in Conflict With U.S.', 'SOCCER GOES SEXY SOUTH OF BORDER', 'Santa Clara is Cuba, China is Russia', 'The World', ""If Salt and Pepper Don't Quite Suffice"", 'Ex‐Berliners Are Reunited in Program of Free Visits for Those Who Fled Nazis', 'Should ‘El Topo’ Be Elevated To ‘El Tops’?', 'U. S. Perplexes Foreign Students', 'Music', 'Guatemala: Always La Violencia']"
Chile,07-1971,61,0.0,0.4,"['CHILEAN OPPOSES U.S. COMPENSATION', 'YOUTH LEADERS QUIT CHILEAN OPPOSITION', 'CHILE ESCUDO SLIPS IN PARITY TO DOLLAR', ""'71 COPPER ESTIMATE FOR CHILE IS CUT 18%"", 'Leaders of Chile and Argentina Meeting to Discuss Problems', ""Chile's Copper Take‐Over"", 'Chile Is Increasing Her Imports To Offset a Shortage of Meat', 'Chilean Leftist Loses Key Election for a Deputy', 'Chile Is Buying Out 2 Foreign Banks; Copper Law Signed', 'Allende and Lanusse Agree On ‘Ideological Pluralism’', 'Allende Affirms Policy After Vote Defeat', 'CHILE PLANS TALKS WITH 8 BANKS HERE', 'Election Poses a New Test for Allendel', 'ALLENDE SIGNS BILL TAKING U.S. MINES', 'Allende Accuses U.S. Copper Interests', 'U.S. PLANS TO GIVE 6 MIDEAST NATIONS $500‐MILLION ARMS', 'Quake Shakes Chilean Area', 'China Aids Chilean Victims', 'Chilean Earthquake Toll Rises to 74', 'NEW ENVOY TO CHILE NOMINATED BY NIXON', ""Chilean Economy Not Significantly Hurt by Earthquake's Damage"", '20 Killed, 100 Hurt As Severe Quake Hits Central Chile', 'DRUG SMUGGLING LAID TO CAFE MAN', 'FOREIGN AFFAIRS', 'The World', 'Fillol Tanglewood Victor, Beating Richey, Franulovic', 'Article 12 ‐‐ No Title', 'A Measure of Vindication for Gabriela Mistral', 'Franulovic Is Victor', 'Nastase Downs Leschly', 'Over the Counter, 16‐1, Takes $138,150 Sunset Handicap', 'PROFIT DOWN 25% AT PHELPS DODGE', 'VAN DILLEN VICTOR OVER FRANULOVIC', 'WHEELCHAIR GAMES OPENED IN JAMAICA', 'WIMBLEDON FOES WILL MEET AGAIN', 'A Preview of Munich', 'FOREIGN AFFAIRS', ""Whittingham: West's Horseman of '71"", 'To Ward. Off the Apocalypse', 'Washington: For the Record', 'Polarization Peril in Uruguay', 'RICHEY ROLLS UP 6‐3, 6‐2 VICTORY', 'NEWCOMBE ROUTS ULRICH BY 6‐0, 6‐0', ""If Today's Sunday, This Must Be . . ."", 'She Learned How to Cook as a Girl in Hanoi', 'Golden Boy of Poetry', 'U.S. Steel Cuts Payout as Profit Rises', 'Bougainvilleans Offered Shares in a Rich Mine', 'Left‐Leaning Bloc in Uruguay Mounts Vote Drive', 'Ack Ack Scores in $175,000 Hollywood Gold Cup With Impost of 134 Pounds', 'U.S. Steel Cuts Payout as Profit Rises', 'Sports of The Times', 'A New‐Old China Policy', 'IN THE NATION', ""Uruguay's Youths Seek Violent Change"", 'Growing Up Black and Female', 'Life Is an Uphill Struggle for the Latins in Paterson', ""PERU'S GENERALS AT ECONOMIC TURN"", 'Peru Presses Reform by Blending Cooperatives and Capitalism', ""MUSKIE REPORTED SOUTH'S FAVORITE"", 'New Breed of American Missionaries Bears the Gospel in Many New Ways']"
Chile,08-1971,50,-0.3,0.7,"['WORKMEN SEIZE 2 PLANTS IN CHILE', 'City Bank Negotiating Sale To Chile of Branches There', 'HIGH CUBAN AIDE ARRIVES IN CHILE', 'U. S. Export Bank Refuses Chile Loan To Buy 3 Airliners', 'CHILE MIDDLEMEN TARGET OF A DRIVE', 'ALLENDE ASSAILS U. S. JET SALE BAN', 'The Nation', 'U. S. Move Protested', 'U.S. Retaliating for Foreign Seizures', 'Strikes Adding to Allende Woes', ""FOUR MINISTERS QUIT ALLENDE'S CABINET"", 'Crucial Test for Dr. Allende', 'Chile Gets Rebuilding Loan', 'Astros Top Padres, 5‐3', 'Ecuador Is Reported Displeased By Allende Talks With Leftists', 'Richey, Graebner Advance', ""COLOMBIA'S LEFT GREETS ALLENDE"", 'U.S. Convict on Leave Wins Flyweight Bout', 'The World', 'Argentina Chief Plans Visit', 'Latin Lands Said to Ease Stand on Cuba', 'U.S. WEIGHS POLICY ON EXPROPRIATION', 'FROEHLING IS UPSET; GRAEBNER ADVANCES', 'Astros Beat Pirates, 4‐0, on 5‐Hitter by Wilson and 2 Key Singles by Watson', 'Allende Reported Ailing', 'DR. SAMUEL KORRY', ""Taipei Won't Comment On Its Ankara Policy"", 'Richey Defeats Filial, Franulovic Tops Graebner in Clay Court Semifinals', 'McManus, Osborne Win', 'Senate Acts to Curb Wealthy Candidates', 'Richey, Mrs. King Gain', 'Article 1 ‐‐ No Title', 'Braves Sudue Astros, 7‐0', 'CUBA, U.S. NINES FINISH 1–2 AT CALI', 'Flor de Sombra, Paying $77.40, Takes Handicap as Monmouth Meeting Ends', 'Foreign Notes', 'Man in the News', 'U.S. Urged to Accept Socialism in Hemisphere', 'ADVERSE ACTIONS ON PAYOUTS TAKEN', 'TAIWAN RECALLS ITS FARM MISSIONS', ""Rockefeller Rejects Escapee's Plea for Freedom"", 'Puerto Rico Government Takes Firm Line on Evicting Squatters', 'Soviet Team in Jakarta for Aid Survey', 'Argentine Oarsmen Capture First Gold Medals of Pan ‐ American Games', 'FOREIGN AFFAIRS', 'Strikes: A Way of Life in Copper Industry', 'Prefontaine Takes Pan‐Am 5,000 Title', 'Stamps', 'The Company at Checkerboard Square', ""Say It Isn't So, Mr. resident A conservative looks at Mr. Nixon's record so far and asks, “Is he one of us?”""]"
Chile,09-1971,44,-0.1,0.4,"['Assembly of Trucks In Chile to Be Ended By General Motors', 'Chile Nullifies Payments For Seized Copper Mines,', 'Chilean Party Breaks Off From Allende', ""Chile Won't Enforce Ban On American News Agency"", ""Aides Say Chile's Move Will Spur U.S. to ‘Get Tough’"", ""Allende Orders Shutdown Of UPI's Offices in Chile"", 'Allende Ends 3‐Nation Tour, Faces Mounting Woes at Home', 'Allende Hints at Nonpayment', 'Letters to the Editor', 'Chilean Fishermen Ahead', ""Castro to Visit Chile in '71"", 'I.T.T. BANK FUNDS BLOCKED BY CHILE', 'CHILE WILL MANAGE STRUCK TIRE PLANT', 'Chile Says It Will Nationalize I.T.T. Unit in Days', 'Miss Andrea Hegeman Is Wed To W. Barklie Henry in Chile', 'NASA Launching Delayed', ""DIANA KENNEDY'S MEXICAN CORN SOUP"", 'Pan‐American Games Open Door to Softball', 'Allende Wins Backing in Colombia Visit', 'Prediction by Allende', 'Habib Confirmed as Envoy', 'Cougar II Rules Choice Today in U.N. Handicap', 'Mexicanizing Process Ends', 'Latins and the U.S. Are Divided As Parley in Panama Winds Up', ""Latin Americans to Weigh U.S. Trade Move's Effects"", 'COLOMBIA LEADER URGES LATIN UNITY', 'Richey, Olmedo and Fillol Advance in Coast Tennis', 'Philadelphians Hail Return Of Ormandy and Premiere', 'Russian Blames U.S. War By THOMAS J. HAMILTON', 'Kodes Gains in Coast Tennis, Aided by Controversial Replay', 'GRAEBNER IS UPSET IN PACIFIC TENNIS', 'Letters to the Editor', 'Isabel Lucom, Robert Clark Plan Wedding', 'Letters to the Editor', 'Dr. William F. Albright Dead; Biblical Archeologist Was 80', ""Wallace Is the Big If In Florida's Primary"", 'Issues at the U.N. Session', '$3‐Million in Gifts Adorn Center', 'Washington: For the Record', 'Pays $8.40 in U.N.', 'Nonaligned Group Seeks Increased Impact in U. N,', 'Miss Evert Tops Miss Durr And Reaches Quarterfinals', 'MARKET DECLINES 5TH TIME IN WEEK', 'Tonkin Gulf']"
Chile,10-1971,75,-0.3,1.0,"['COPPER CONCERNS APPEAL IN CHILE', 'CHILE IS AROUSED BY U.S. WARNING', 'Economic Crisis in Chile Eroding Allende Support', 'How Chile Lives With Inflation: Sueldo Vital', 'Rogers Threatens Chilean Aid Cutoff In Expropriations', 'A. Chilean family chronicle‐', 'Argentine Ideader Ends Visit to Chile', 'Chile Denies Arms Credit Of $50‐Million From Soviet', 'Chile Deplores ‘Pressure’', 'ROGERS REPROVES CHILE ON SEIZURES', 'Rogers Stand Spurs Chile Unity Drive', 'U. S. ENVOY ENDS MISSION IN CHILE', 'U.S. Tells Chile Seizures Could Endanger Aid to Needy Countries', 'KENNECOTT NITS CHARGES BY CHILE', 'Chilean Aide Rules Against Payments To 2 U.S. Concerns', 'CHILEAN HINTS CUT IN LEVY ON MINES', 'Confiscation in Chile', 'Texas vs. Chile', 'Rogers and Chilean Discuss Issues in Copper Seizures', 'CHILEAN, AT U.N., BACKS TAKE‐OVERS', 'The Screen', 'Open Tax Hearings Barred In Copper Company Cases', 'Connally Says U.S. Can Wait for Reform of World Currencies', 'Letters to the Editor', 'Regis Debray Talks to President Allende', '‘Serious Implications’', 'Anaconda Faces Loss', 'The Hemisphere', 'ALLENDE BACKERS ATTACKING PRESS', 'The World', 'Marxist Chile After One Year', 'Neruda, Chilean Poet‐Politician, Wins Nobel Prize in Literature', 'Allende Praises Poet', 'An Impassioned and Popular Writer', 'W. VA. OUTSCORES E. CAROLINA 44‐21', 'Gloom Pervades American Mining Congress as Executives Ponder Shrinking Markets', 'GAMMA GLOBULIN USED IN NEW WAY', 'Uruguay: Perils of Division', '5 Seek to Succeed Thant in ‘Most Impossible Job’', '2 LIBERALS GET ARGENTINE POSTS', 'Headliners', 'Proceedings in the U.N.', 'U.S. Steel in Loss', 'Miss Heldman Overcomes Nell Truman in Straight Sets', 'Comment by Neruda', 'Julie Heldman Victor Over Miss Goolagong', 'LUTZ, RIESSEN WIN IN SPANISH TENNIS', 'Galbraith Praises Nixon For Improving Economy', 'Cougar II Captures Coast Grass Race; Five for Shoemaker', 'United Nations Notes', 'MISS WADE TAKES DEWAR NET FINAL', 'Dr. Negley K. Teeters is Dead; Advocate of Penal Reforms', 'He Hopes to Win Illinois Race in a Walk', 'KOSYGIN PLEDGES TO CUBA EXPECTED', 'Stand Reaffirmed by Britain', 'A Latin Walt Whitman', 'TAIWAN IS LOSING BACKING OF LATINS', 'POINT OF VIEW', 'CUBA IS ACCEPTED IN ECONOMIC BLOC', 'STOCKS UP AGAIN BY A THIN MARGIN', 'ARGENTINE UNITS GIVE UP QUIETLY', ""‘We Don't Have Any Friends There’"", 'Notes on Violence', 'Morality and Controls: Ⅱ', 'WASHINGTON', 'Mysteries of the East Off Central Park', 'Book Season: 36,000 Titles, and Problems', 'West Coast Scout Scores on Disqualification', 'SENATE, 47 T0 44, KILLS FUND CURB ON VIETNAM WAR', 'Music', ""Bobby Seale's Birthday Cake (Oh, Far Out!)"", 'Airgentine Nationalism', '‘We Could Hear the Ting of Bullets Striking’', ""Poetics, Not Politics'—A day in class with Prof. Eugene McCarthy"", 'Will the Real Majority Stand Up for Scoop Jackson?']"
